district_code,district_name,name,address,address_coordinates,services,business_status
central_western_district,Central & Western District,Central District Branch,"2A Des Voeux Road Central, Hong Kong","22.280249,114.160161",ATM_RMB,
central_western_district,Central & Western District,Bonham Road Branch,"63 Bonham Road, Hong Kong","22.2844809,114.1409265",ATM_RMB,
central_western_district,Central & Western District,Shek Tong Tsui Branch,"534 Queen's Road West,  Shek Tong Tsui, Hong Kong","22.2862301,114.1345169",ATM_RMB,
central_western_district,Central & Western District,Kennedy Town Branch,"Harbour View Garden, 2-2F Catchick Street, Kennedy Town, Hong Kong","22.2835392,114.129382","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY",
central_western_district,Central & Western District,Connaught Road Central Branch,"13-14 Connaught Road Central, Hong Kong","22.282915,114.157785",ATM_RMB,
central_western_district,Central & Western District,Caine Road Branch,"57 Caine Road, Hong Kong","22.2808553,114.1526749",ATM_RMB,
central_western_district,Central & Western District,Des Voeux Road West Branch,"111-119 Des Voeux Road West, Hong Kong","22.2878895,114.1445758",ATM_RMB,
central_western_district,Central & Western District,Gilman Street Branch,"136 Des Voeux Road Central, Hong Kong","22.2852041,114.154669",ATM_RMB,
central_western_district,Central & Western District,Wyndham Street Branch,"G/F, South China Building, 1-3 Wyndham Street, Central, Hong Kong","22.2812076,114.1564853",ATM_RMB,
central_western_district,Central & Western District,Queen's Road Central Branch,"81-83 Queen’s Road Central, Hong Kong","22.2833787,114.1552884",ATM_RMB,
central_western_district,Central & Western District,Western District Branch,"386-388 Des Voeux Road West, Hong Kong","22.28681066270472,114.13728140294552","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY",
central_western_district,Central & Western District,First Street Branch,"55A First Street, Sai Ying Pun, Hong Kong","22.2865402,114.1425311",ATM_RMB,
central_western_district,Central & Western District,United Centre Branch,"Shop 1021, United Centre, 95 Queensway, Hong Kong","22.278421,114.165361",ATM_RMB,
central_western_district,Central & Western District,Shun Tak Centre Branch,"Shop 225, 2/F, Shun Tak Centre, 200 Connaught Road Central, HK","22.288101,114.1512204",ATM_RMB,
central_western_district,Central & Western District,Bank of China Tower Branch,"1 Garden Road, Hong Kong","22.27925,114.161572",ATM_RMB,
central_western_district,Central & Western District,Central District (Wing On House) Branch,"B/F-2/F, Wing on House, 71 Des Voeux Road Central, Hong Kong","22.283852,114.1564086","ATM_RMB,CASH_DEPOSIT_DUAL_CURRENCY",
central_western_district,Central & Western District,Queen's Road West (Sheung Wan) Branch,"2-12 Queen's Road West, Sheung Wan, Hong Kong","22.2864297,114.1485646",ATM_RMB,
