district_code,district_name,branch_code,name,address,address_coordinates,phone_no,opening_hours,services,business_status
central_western_district,Central & Western District,349,Central District Branch,"2A Des Voeux Road Central, Hong Kong","22.280249,114.160161",+852 2160 8888,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,EXCHANGE,RMB,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,397,Bonham Road Branch,"63 Bonham Road, Hong Kong","22.2844809,114.1409265",+852 2517 7066,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,NOTES_PREORDER,INVESTMENT_SERVICE",
central_western_district,Central & Western District,553,Shek Tong Tsui Branch,"534 Queen's Road West,  Shek Tong Tsui, Hong Kong","22.2862301,114.1345169",+852 2819 7277,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,METALS,NOTES_PREORDER",
central_western_district,Central & Western District,560,Kennedy Town Branch,"Harbour View Garden, 2-2F Catchick Street, Kennedy Town, Hong Kong","22.2835392,114.129382",+852 2818 6162,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,595,Connaught Road Central Branch,"13-14 Connaught Road Central, Hong Kong","22.282915,114.157785",+852 2841 0410,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,RMB,INVESTMENT_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,CASH_DEPOSIT_DUAL_CURRENCY,ENRICH,WM_CENTRE,NOTES_PREORDER",
central_western_district,Central & Western District,606,Caine Road Branch,"57 Caine Road, Hong Kong","22.2808553,114.1526749",+852 2521 3318,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,676,Sheung Wan Branch,"Shop 1-4 G/F & 1/F, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Hong Kong","22.286276,114.152152",+852 2541 1601,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,EXCHANGE,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,CASH_DEPOSIT_DUAL_CURRENCY,WM_CENTRE,NOTES_PREORDER,ENRICH",
central_western_district,Central & Western District,551,Des Voeux Road West Branch,"111-119 Des Voeux Road West, Hong Kong","22.2878895,114.1445758",+852 2546 1134,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,709,Gilman Street Branch,"136 Des Voeux Road Central, Hong Kong","22.2852041,114.154669",+852 2135 1123,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,ENRICH,WM_CENTRE,NOTES_PREORDER",
central_western_district,Central & Western District,721,Wyndham Street Branch,"G/F, South China Building, 1-3 Wyndham Street, Central, Hong Kong","22.2812076,114.1564853",+852 2843 2888,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,WM_CENTRE,NOTES_PREORDER,ENRICH",
central_western_district,Central & Western District,746,Queen's Road Central Branch,"81-83 Queen’s Road Central, Hong Kong","22.2833787,114.1552884",+852 2588 1288,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,CHEQUE_DEPOSIT,NOTES_PREORDER",
central_western_district,Central & Western District,788,Western District Branch,"386-388 Des Voeux Road West, Hong Kong","22.28681066270472,114.13728140294552",+852 2549 9828,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,804,First Street Branch,"55A First Street, Sai Ying Pun, Hong Kong","22.2865402,114.1425311",+852 2517 3399,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,806,United Centre Branch,"Shop 1021, United Centre, 95 Queensway, Hong Kong","22.278421,114.165361",+852 2861 1889,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,WM_CENTRE,NOTES_PREORDER,CASH_DEPOSIT_DUAL_CURRENCY",
central_western_district,Central & Western District,819,Shun Tak Centre Branch,"Shop 225, 2/F, Shun Tak Centre, 200 Connaught Road Central, HK","22.288101,114.1512204",+852 2291 6081,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,875,Bank of China Tower Branch,"1 Garden Road, Hong Kong","22.27925,114.161572",+852 2826 6888,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,EXCHANGE,RMB,INVESTMENT_SERVICE,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,CASH_DEPOSIT_DUAL_CURRENCY,ENRICH,WM_CENTRE,METALS,NOTES_PREORDER",
central_western_district,Central & Western District,916,Central District (Wing On House) Branch,"B/F-2/F, Wing on House, 71 Des Voeux Road Central, Hong Kong","22.283852,114.1564086",+852 2843 6111,"9:00 – 17:00,9:00 – 13:00,Closed","BOCHK_ISERVICE,ATM_CENTRE,ATM_RMB,EXCHANGE,RMB,INVESTMENT_SERVICE,SAFE_DEPOSITBOX,SELF_SERVICE,CHEQUE_DEPOSIT,CAPTIAL_INVEST,CASH_DEPOSIT_DUAL_CURRENCY,METALS,NOTES_PREORDER,ENRICH",
central_western_district,Central & Western District,926,Queen's Road West (Sheung Wan) Branch,"2-12 Queen's Road West, Sheung Wan, Hong Kong (with Voice Navigation ATM Service)","22.2864297,114.1485646",+852 2815 6888,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,NOTES_PREORDER",
central_western_district,Central & Western District,,Syndicated & Acquisition Finance,address,"22.2793052,114.1614922",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Financial Institutions (Bank),address,"22.2793052,114.1614922",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Financial Institutions (Non-Bank),address,"22.2793052,114.1614922",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Commercial Business Division I,address,"22.2793052,114.1614922",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Commercial Business Division II,address,"22.2793052,114.1614922",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Hong Kong Central and West Commercial Centre,address,"22.284088,114.156635",phone_no,"9:00 – 17:00,Closed,Closed",services,
central_western_district,Central & Western District,,Public Sector,address,"22.279334,114.161450",phone_no,"9:00 – 17:00,Closed,Closed",services,
wan_chai_district,Wan Chai District,963,Happy Valley Wealth Management Centre,"Nos. 49-51A, Sing Woo Road, Happy Valley, Hong Kong","22.268552,114.186533",+852 3982 8270,"9:00 – 17:00,9:00 – 13:00,Closed","ATM_CENTRE,ATM_RMB,RMB,INVESTMENT_SERVICE,SELF_SERVICE,CHEQUE_DEPOSIT,CASH_DEPOSIT_DUAL_CURRENCY,WM_CENTRE",
